content,sentiment,negative,neutral,positive,highlight
래드키 앵?,neutral,0.00031923127,0.999514,0.00016681704,래드키 앵
 성시경 전성기를 모르는 애들이?.,neutral,0.0016813814,0.99722314,0.001095476,성시경 전성기를 모르는 애들이
래드키 이말이맞음 성시경이 00년대 goat 은 아니자너.,neutral,0.0024160293,0.99248695,0.005097003,래드키 이말이맞음 성시경이 00년대 goat 은 아니자너
래드키 니가 맞음.,neutral,0.036094356,0.9542122,0.0096935425,래드키 니가 맞음
  성시경은 고트급인 발라더들은 거론할 것도 없고 김종국도 못이김..,negative,0.96823835,0.030566782,0.0011948863,성시경은 고트급인 발라더들은 거론할 것도 없고 
비정상인 성시경이 요즘 유투브로 잘나가서 근데 이건 비교할거리도 안될정도로 성시경 압승일텐데 애초에 성시경은 정규 앨범만 8개임.,neutral,0.0011096549,0.9952107,0.0036796504,비교할거리도 안될정도로 성시경 압승일텐데 애초에 성시경은 정규 앨범만 8개임
비정상인 전성기를 모르니깐 대충 들은 이야기 + 예능등에서 본 이미지로 가수를 평가함전성기로보면 당시에도 동시대 발라드 가수한테도 밀리던게 성시경이었는데.,neutral,0.0049139727,0.68660784,0.30847824,당시에도 동시대 발라드 가수한테도 밀리던게 성시경이었는데
가수로보면 당연히 성시경이지 않나 ㅋㅋ,neutral,0.00046066113,0.9987287,0.0008106901,가수로보면 당연히 성시경이지 않나 
 체급차이 많이나는거 같은데..   틀이라 그런가?,neutral,0.0010330324,0.99875414,0.00021272905,체급차이 많이나는거 같은데
   근데 생각해보면 엄청 터진 역대급 노래는 없는거 같기도하고?.,negative,0.9922816,0.006071335,0.0016470079,생각해보면 엄청 터진 역대급 노래는 없는거 같기도하고
라울과알레 성시경이 한국 발라드 GOAT이라는 애들도 많던데 ㅋㅋㅋㅋ.,neutral,0.0008091877,0.9983015,0.00088925636,애들도 많던데 
크래프톤가자잇 나도 30중반인데 아까 댓글에 변진섭 이문세까지 나와서 진짜 깜짝 놀람 ㅋㅋㅋ,neutral,0.0012601572,0.9838006,0.014939277,댓글에 변진섭 이문세까지 나와서 진짜 깜짝 놀람 
 성시경 세대면 신승훈 테이프 뒤집어 듣는 세대 다음 세대인데.. 심지어 변진섭은 청바지가 잘어울리는 여자 이 부분 빼고 아는 사람도 별로 없을텐데.,neutral,0.001102724,0.9735752,0.02532213,심지어 변진섭은 청바지가 잘어울리는 여자 이 부분 빼고 
눈군 그럼 논쟁 자체가 무의미하단 입장이시군요.,negative,0.9954417,0.0043542627,0.00020406599,논쟁 자체가 무의미하단 입장이시군요
 자세히 설명하시니 무슨 말인지 이해했습니다.,neutral,0.00023201224,0.9995345,0.00023357142,자세히 설명하시니 무슨 말인지 이해했습니다
그럼에도 수많은 사람들은 기준을 정하고 평가하는 건 필요하죠.,neutral,0.00079800974,0.99896836,0.000233673,수많은 사람들은 기준을 정하고 
"보통 그 기준이라 함은 단순히 노래를 잘해서도 아니고, 대중적이기만 해서도 아니고, 작품성과 음악성을 종합해서 해당 시대의 위치를 차지하고 있을때 계보를 잇는다고 하는것같아요",neutral,0.00034861293,0.9993179,0.00033357705,계보를 잇는다고 
