content,sentiment,negative,neutral,positive,highlight
원베일리 상업성 고려하면 장범준이 맞겠네..,neutral,0.0026853175,0.9759094,0.021405283,원베일리 상업성 고려하면 장범준이 맞겠네
원베일리 장범준은 20년대가 아니라 10년대지어떻게 장범준 커리어 얘기하는데 20년대를 끌고옴....원베일리 ? 장범준은 10년대에 껴야지 ㅋㅋ.,neutral,0.0025697052,0.9947614,0.0026688378,원베일리 
벚꽃엔딩은 10년대 대한민국에서 가장 히트곡이라고 할 수있는데.Kaka,neutral,0.0017870847,0.91516286,0.08305008,대한민국에서 가장 히트곡이라고 할 수있는데
#22.,neutral,0.00034146316,0.9994809,0.00017765647,#22
 유투브랑 가수위상이랑 도대체 뭔 상관관계가 있다는거그리고 앨범 많이 내면 우위인가?,neutral,0.10071641,0.897555,0.0017286021,앨범 많이 내면 우위인가
성공한 음원 노래가 장범준이 우위인데.Kaka,neutral,0.0004251604,0.9924326,0.0071421755,성공한 음원 노래가 장범준이 우위인데
#22.,neutral,0.00034146316,0.9994809,0.00017765647,#22
 콘서트는 단순 팬덤크기 비교자너관객동원력 얘기하는데 음원성적이 더 대중성을 뜻하는 지표 아닐까싶음,neutral,0.0007981107,0.99628323,0.0029186548,콘서트는 단순 팬덤크기 비교자너관객동원력 얘기하는데 음원성적이 더 대중성을 뜻하는 지표 아닐까
단순히 노래로만 돈번걸로치면 난 장범준이 한참더 벌었을거 같은데.,neutral,0.00092262996,0.9885833,0.010494085,단순히 노래로만 돈번걸로치면 난 장범준이 한참더 벌었을거 같은데
Kaka#22.,neutral,0.00024982076,0.99960583,0.00014447008,Kaka#22
 잉 장범준도 버스커 합치면 정규만 5개임 유투브로 따져도 장범준도 구독자가 100만 가까이 됨,neutral,0.0011402289,0.95648915,0.042370636,장범준도 구독자가 100만 가까이 됨
 심지어 유툽에서는 음악관련 콘텐츠만 함.,neutral,0.00037073504,0.99907684,0.00055232615,심지어 
Kaka#22.,neutral,0.00024982076,0.99960583,0.00014447008,Kaka#22
 음색이 독보적일뿐 그정도 음악성 가진 발라더는 널리고 널렸음.,positive,0.0006933984,0.0018868261,0.99741983,발라더는 널리고 널렸음
 반면 포크에서 장범준 정도 음악성을 지닌 사람은 오버에선 없음.,neutral,0.0039492273,0.99390244,0.0021483004,사람은 오버에선 없음
" 애초에 비교불가, 장범준이 넘사임.",negative,0.9918738,0.007511214,0.00061491993,장범준이 넘사임
라울과알레 과장 좀 보태서 90년대 후반생인 나에겐 장범준이 우리세대의 김광석임.,neutral,0.0005951107,0.99676275,0.0026421268,라울과알레 과장 좀 보태서 90년대 후반생인 나에겐 장범준이 우리세대의 김광석임
원웨이브 과장보태서가아니라 걍 우리세대 김광석이 장범준 맞음,neutral,0.0011991973,0.993435,0.0053657615,우리세대 김광석이 장범준 맞음
 지금 20 30대 남자들 장범준 노래들으면서 감정이입 안된사람 단 한명도 없다고 자부함.,positive,0.0007907876,0.02128705,0.9779221,사람 단 한명도 없다고 자부함
9.3.0521 히트곡 기준을 뭐로 잡아도 장범준이 우위 같은데 당장 버스커버스커 시절때만으로 잡아도 그렇고.,neutral,0.0008012727,0.99696285,0.0022358557,잡아도 그렇고
라울과알레 장범준이 가수 goat는 아닌데 벚꽃엔딩 버스커버스커 1집은 한국 대중음반계 goat 반열이지.,neutral,0.0007700943,0.99654144,0.002688461,라울과알레 장범준이 가수 goat는 아닌데 벚꽃엔딩 버스커버스커 1집은 한국 대중음반계 goat 반열이지
델카이저 멜론하트로 따지기엔 활발하게 활동한년도가다름아예 비교삼을만한 지표자체가 안되지수많은 옛날명곡들 << 벚꽃엔딩은 아니니까.,neutral,0.0072767893,0.9780904,0.014632725,수많은 옛날명곡들 << 벚꽃엔딩은 아니니까
에펨자료받으러 너의모든순간보다 벚꽃엔딩이 먼저나왔는데.무협초보 전성기가 20년 전이었던 가수랑 지금이 전성기인 가수랑 요즘 활동 비교하는 게 맞낭ㅋㅋ,neutral,0.004799945,0.9894649,0.005735128,가수랑 요즘 활동 비교하는 게 맞낭
물론 장범준이 진짜 뛰어난 가수인 건 맞는데 기준이 좀ㅋㅋ.,neutral,0.0026843064,0.6919265,0.30538926,장범준이 진짜 뛰어난 가수인 건 맞는데 
무협초보 당장 장범준이 원히트원더 어쩌고했지만 버스커버스커 1집은 음반자체가 명반이였고 3집까지도 성적 괜찮았음,positive,0.0011280872,0.0005873124,0.9982845,성적 괜찮았음
  개인  앨범도 계속 내고 최근 ost 흔꽃삼으로도 선방하고 그냥 팬서비스음악이 잠이오질않네,positive,0.0024297477,0.00037650508,0.9971937,흔꽃삼으로도 선방하고 
요도 많이들 듣고있는데뭔 히트곡이 적네,negative,0.97556335,0.019970607,0.0044660647,요도 많이들 듣고
  원히트원더네 하는지 모르겠음.무협초보 그니까 데뷔 22년된 가수한테 앨범 내면 묻힌다,negative,0.99704593,0.0026000056,0.0003540362,무협초보 그니까 
 이런소리가 웃긴거라고 장범준 22년차에 차트 성적좋으면 ㅇㅈ함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.,negative,0.9813721,0.015694011,0.0029338452,차트 성적좋으면 ㅇㅈ함 
무협초보 히트곡으로만 따지면 장범준 >>> 임재범인데 가수들 100 명 모아두고 임재범과 장범준 중에 누가 더 뛰어난 가수냐고 물어보면 100 명 중에 90 명은 임재범 뽑는다에 손모가지 검 ㅋㅋㅋㅋㅋㅋ.,neutral,0.0053130346,0.9889932,0.0056936815,임재범 뽑는다에 손모가지 검 
무협초보 ㄹㅇ,neutral,0.0073987744,0.99201804,0.00058312307,무협초보 
" 당장 장범준은 20년도에 싱글로 낸 '잠이 오질 않네요'만 해도 1년도 채 안 되어서 가온차트 기준 1억 스트리밍 달성했는데.무협초보 2014년 08월 19일 '장범준 1집'이 발표되었고, 장범준은 본인이 처음 프로듀싱한 앨범을 대중에게 선보이게 된다.",neutral,0.0013671031,0.9116365,0.08699636,장범준은 본인이 처음 프로듀싱한 앨범을 대중에게 선보이게 된다
 그러나 버스커 버스커 앨범과는 다른 실험적이고 마이너한 감성이었던 1집은 대중들에게 큰 어필을 하지 못했다.,negative,0.9971873,0.002453093,0.00035957946,대중들에게 큰 어필을 하지 못했다
"03월 25일 '장범준 2집'이 발매되었고, 1집보다 나은 성적을 거두게 된다.",positive,0.00069816934,0.000831344,0.9984705,나은 성적을 거두게 된다
"2016년 12월 07일, 정규 앨범만 내던 장범준은 처음 싱글 음원을 발매하게 된다.",neutral,0.0001054372,0.9996866,0.00020791565,정규 앨범만 내던 장범준은 처음 싱글 음원을 발매하게 된다
